t_sec, t_nanosec, x, y, orientation_x, orientation_y, orientation_z, orientation_w, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, -1.51797, -0.365255, -0.0119494, -0.00710664, 0.992932, -0.117866, 5.08573e-05, 0, 0, -9.8953e-08, -0, -0
0, 0, -2.0183, -0.48616, -0.0123796, -0.00603464, 0.992867, -0.118432, 1.70437, 0, 0, 0.00768383, -0, -0
0, 0, -2.50517, -0.603377, -0.0135132, -0.00483042, 0.992848, -0.118521, 2.67606, 0, 0, 0.0136883, -0, -0
0, 0, -3.02575, -0.720688, -0.0147349, -0.00729141, 0.993193, -0.115311, 2.97264, 0, 0, -0.00550092, -0.0440115, -0
0, 0, -3.58828, -0.809904, -0.0131922, -0.00722245, 0.994595, -0.10274, 3.64458, 0, 0, -0.0439877, -0.108459, -0
0, 0, -4.18974, -0.915749, -0.0108076, -0.00837551, 0.995246, -0.0964245, 4.23605, 0, 0, -0.0312183, -0.0619136, -0
0, 0, -4.77273, -0.988331, -0.00974461, -0.00671376, 0.996401, -0.0839391, 4.51773, 0, 0, 0.00332809, -0.132585, -0
0, 0, -5.31275, -1.03002, -0.00917661, -0.00430043, 0.997542, -0.0693366, 5.15147, 0, 0, -0.0221587, -0.0821161, -0
0, 0, -5.95725, -1.09183, -0.00678647, -0.00344586, 0.998118, -0.0608457, 5.59616, 0, 0, -0.00504067, -0.00683699, -0
0, 0, -6.6082, -1.1673, -0.00748596, -0.00217342, 0.998182, -0.0597707, 6.06024, 0, 0, 0.0282939, -0, -0
0, 0, -7.17652, -1.22874, -0.00847584, -0.00312305, 0.998337, -0.0569298, 6.38407, 0, 0, 0.0164729, -0.0497415, -0
0, 0, -7.7097, -1.26586, -0.00708856, -0.00259784, 0.998801, -0.0483711, 6.74799, 0, 0, -0.0573151, -0.11895, -0
0, 0, -8.26864, -1.27908, -0.00558264, -0.00207155, 0.999344, -0.0357134, 7.05685, 0, 0, -0.0263407, -0.126089, -0
0, 0, -8.91053, -1.28712, -0.00458527, -0.00186106, 0.999691, -0.0243443, 7.12893, 0, 0, -0.0216664, -0.0810309, -0
0, 0, -9.55071, -1.28226, -0.00394743, -0.00281117, 0.999913, -0.0122871, 7.09179, 0, 0, -0.00678735, -0.153171, -0
0, 0, -10.1156, -1.24909, -0.00395351, -0.00458941, 0.999974, 0.00378839, 7.09179, 0, 0, 0.0204513, -0.153171, -0
0, 0, -10.742, -1.16878, -0.00605804, -0.00585047, 0.999553, 0.0286796, 7.0342, 0, 0, 0.051328, -0.223737, -0
0, 0, -11.2855, -1.05242, -0.00849336, -0.00661272, 0.998309, 0.0571183, 6.95761, 0, 0, 0.0640559, -0.292032, -0
0, 0, -11.8095, -0.888389, -0.0111016, -0.00761903, 0.995732, 0.0913043, 6.8624, 0, 0, 0.0440127, -0.361521, -0
0, 0, -12.3039, -0.673009, -0.0108659, -0.011133, 0.991131, 0.131977, 6.73272, 0, 0, -0.067534, -0.42852, -0
0, 0, -12.8694, -0.333692, -0.00878551, -0.0131006, 0.98207, 0.187854, 6.53967, 0, 0, 0.0229959, -0.506923, -0
0, 0, -13.3106, 0.0356244, -0.00686652, -0.0142711, 0.969752, 0.243576, 6.31739, 0, 0, -0.0397375, -0.574812, -0
0, 0, -13.7493, 0.553139, -0.00526878, -0.0168932, 0.948768, 0.315479, 6.13515, 0, 0, -0.0351441, -0.642786, -0
0, 0, -14.049, 1.06807, -0.00451162, -0.013307, 0.924824, 0.380137, 5.89145, 0, 0, -0.0829575, -0.648293, -0
0, 0, -14.2931, 1.60316, -0.00802521, -0.0116035, 0.899608, 0.436471, 5.83197, 0, 0, 0.0572, -0.579565, -0
0, 0, -14.4981, 2.14882, -0.0104596, -0.0105611, 0.874599, 0.484618, 5.79203, 0, 0, 0.00285342, -0.510931, -0
0, 0, -14.6529, 2.64745, -0.0109382, -0.00960647, 0.853624, 0.520686, 5.76765, 0, 0, -0.0075654, -0.435603, -0
0, 0, -14.814, 3.26296, -0.0112845, -0.00815877, 0.830998, 0.556101, 5.7569, 0, 0, -0.00999407, -0.296719, -0
0, 0, -14.9309, 3.76872, -0.0116307, -0.00888283, 0.815397, 0.578717, 5.74976, 0, 0, -0.00741446, -0.22708, -0
0, 0, -15.0635, 4.388, -0.00973474, -0.00963438, 0.800666, 0.598955, 5.74953, 0, 0, -0.0316791, -0.160495, -0
0, 0, -15.1704, 4.89404, -0.00912788, -0.00943681, 0.792772, 0.609377, 5.73682, 0, 0, 0.050652, -0.0898765, -0
0, 0, -15.311, 5.50786, -0.00892882, -0.00934769, 0.788199, 0.615285, 5.71982, 0, 0, -0.00965323, -0.0215961, -0
0, 0, -15.4403, 6.00413, -0.00850949, -0.00892965, 0.78884, 0.614474, 5.69586, 0, 0, -0.0125701, 0.0458331, -0
0, 0, -15.6246, 6.59934, -0.00811641, -0.00832085, 0.794831, 0.60672, 5.66075, 0, 0, -0.0119436, 0.120084, -0
