t_sec, t_nanosec, x, y, orientation_x, orientation_y, orientation_z, orientation_w, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, -0.399499, -1.50927, 0.0131782, 0.0045876, -0.792386, 0.60986, 4.80759e-05, 0, 0, 4.14322e-07, -0, -0
0, 0, -0.541943, -2.04368, 0.0128268, 0.00399313, -0.792425, 0.609822, 1.77353, 0, 0, 0.00220185, -0, -0
0, 0, -0.674765, -2.54253, 0.013022, 0.00376241, -0.792476, 0.609753, 2.74623, 0, 0, 0.003099, -0, -0
0, 0, -0.82425, -3.1037, 0.0131985, 0.00354146, -0.792552, 0.609651, 3.40359, 0, 0, 0.000111338, -0, -0
0, 0, -0.964864, -3.63172, 0.0130803, 0.00345849, -0.792626, 0.609559, 3.74715, 0, 0, -0.000690025, -0, -0
0, 0, -1.12547, -4.23419, 0.0130802, 0.00331339, -0.792695, 0.609469, 4.36316, 0, 0, 0.002949, -0, -0
0, 0, -1.25599, -4.72312, 0.0131599, 0.00307266, -0.792722, 0.609434, 4.67032, 0, 0, 0.00473842, -0, -0
0, 0, -1.39726, -5.25202, 0.0132225, 0.00269008, -0.792725, 0.60943, 4.97722, 0, 0, 0.00518068, -0, -0
0, 0, -1.56337, -5.8742, 0.0132843, 0.00236254, -0.792702, 0.609459, 5.31727, 0, 0, 0.00075378, -0, -0
0, 0, -1.71141, -6.4294, 0.0132911, 0.0023514, -0.792676, 0.609494, 5.62363, 0, 0, 0.000165638, -0, -0
0, 0, -1.90106, -7.1413, 0.0133009, 0.00234005, -0.792628, 0.609556, 6.33117, 0, 0, 0.000340169, -0, -0
0, 0, -2.05155, -7.70639, 0.0133169, 0.00233529, -0.792617, 0.609569, 6.63447, 0, 0, 0.00034789, -0, -0
0, 0, -2.1912, -8.23083, 0.0133299, 0.00232826, -0.792615, 0.609573, 6.90382, 0, 0, 0.000372909, -0, -0
0, 0, -2.3363, -8.77596, 0.013325, 0.00248906, -0.792592, 0.609602, 6.90382, 0, 0, -0.00864267, -0, -0
0, 0, -2.48658, -9.34178, 0.0133699, 0.00285633, -0.792522, 0.60969, 7.23553, 0, 0, 0.0084207, -0, -0
0, 0, -2.62287, -9.85426, 0.0137167, 0.00262157, -0.792522, 0.609684, 7.543, 0, 0, 0.0127033, -0, -0
0, 0, -2.76375, -10.3834, 0.0140737, 0.00235983, -0.792526, 0.609671, 7.86019, 0, 0, 0.0110694, -0, -0
0, 0, -2.93015, -11.0085, 0.0140118, 0.00225278, -0.792508, 0.609697, 8.20722, 0, 0, -0.0013296, -0, -0
0, 0, -3.10186, -11.6544, 0.0135322, 0.00232902, -0.792534, 0.609673, 8.50749, 0, 0, -0.0178384, -0, -0
0, 0, -3.23413, -12.1524, 0.0132956, 0.00216436, -0.792601, 0.609592, 8.50749, 0, 0, 0.00791694, -0, -0
0, 0, -3.36968, -12.662, 0.0133312, 0.00172809, -0.792616, 0.609573, 8.807, 0, 0, 0.0103341, -0, -0
0, 0, -3.53187, -13.271, 0.0133716, 0.00135786, -0.792578, 0.609622, 9.10573, 0, 0, 0.000993095, -0, -0
0, 0, -3.67416, -13.8055, 0.0133611, 0.0013836, -0.792546, 0.609664, 9.10573, 0, 0, -0.00121553, -0, -0
0, 0, -3.8932, -14.629, 0.0133312, 0.0014441, -0.792511, 0.609711, 9.43749, 0, 0, -0.00140448, -0, -0
0, 0, -4.09372, -15.3835, 0.0132966, 0.00149284, -0.792457, 0.609781, 9.74379, 0, 0, -0.00141018, -0, -0
0, 0, -4.27367, -16.061, 0.0132687, 0.00152788, -0.792404, 0.60985, 10.0514, 0, 0, -0.000314033, -0, -0
0, 0, -4.45773, -16.7544, 0.0131873, 0.00160853, -0.792365, 0.609903, 10.0514, 0, 0, -0.0173696, -0, -0
0, 0, -4.64547, -17.4627, 0.0133019, 0.00222447, -0.792273, 0.610018, 10.38, 0, 0, -0.000406432, -0, -0
0, 0, -4.78197, -17.9782, 0.0135948, 0.00259897, -0.792221, 0.610078, 10.6676, 0, 0, 0.00028993, -0, -0
0, 0, -4.97669, -18.7136, 0.0139526, 0.00274446, -0.792182, 0.610119, 10.9775, 0, 0, -0.00209492, -0, -0
0, 0, -5.20417, -19.5729, 0.0142232, 0.00335854, -0.792128, 0.61018, 10.9775, 0, 0, -0.0105322, -0, -0
0, 0, -5.43678, -20.4528, 0.0138291, 0.00361276, -0.792138, 0.610175, 11.3019, 0, 0, -0.00744458, -0, -0
0, 0, -5.61462, -21.1255, 0.0140155, 0.00399452, -0.792132, 0.610176, 11.5862, 0, 0, 0.00942451, -0, -0
0, 0, -5.76511, -21.6949, 0.0146304, 0.00454082, -0.792058, 0.610254, 11.5862, 0, 0, -0.00260638, -0, -0
0, 0, -5.91769, -22.2725, 0.0150552, 0.00518455, -0.791961, 0.610364, 11.8894, 0, 0, 0.0108517, -0, -0
0, 0, -6.10411, -22.9778, 0.0149614, 0.00478209, -0.791955, 0.610377, 12.279, 0, 0, -0.021813, -0, -0
0, 0, -6.32595, -23.8176, 0.0121395, 0.00365294, -0.791879, 0.610547, 12.279, 0, 0, -0.0590628, -0, -0
0, 0, -6.45428, -24.3044, 0.0102604, 0.00284452, -0.79183, 0.610649, 12.5765, 0, 0, -0.0251693, -0, -0
0, 0, -6.58362, -24.7956, 0.00879228, 0.00224753, -0.791771, 0.610751, 12.5765, 0, 0, -0.0337775, -0, -0
0, 0, -6.71407, -25.2914, 0.00793832, 0.00155604, -0.791719, 0.610832, 12.8658, 0, 0, 0.0186152, -0, -0
0, 0, -6.87893, -25.9182, 0.00847076, 0.0020113, -0.791581, 0.611002, 12.8658, 0, 0, -0.00407722, -0, -0
0, 0, -7.07932, -26.6814, 0.0087726, 0.00310668, -0.791466, 0.611142, 13.1733, 0, 0, -0.0176956, -0, -0
0, 0, -7.21452, -27.197, 0.0085373, 0.00342789, -0.791441, 0.611176, 13.1733, 0, 0, -0.0199638, -0, -0
0, 0, -7.35089, -27.7175, 0.00802344, 0.00317327, -0.791442, 0.611184, 13.471, 0, 0, -0.0120101, -0, -0
0, 0, -7.55735, -28.5064, 0.00747462, 0.00331631, -0.791409, 0.611233, 13.471, 0, 0, -0.00374179, -0, -0
0, 0, -7.6964, -29.0381, 0.00756972, 0.00353604, -0.791389, 0.611255, 13.7596, 0, 0, 0.00726598, -0, -0
0, 0, -7.8373, -29.5764, 0.0075996, 0.00294735, -0.791431, 0.611204, 13.7596, 0, 0, -0.00396366, -0, -0
