t_sec, t_nanosec, x, y, orientation_x, orientation_y, orientation_z, orientation_w, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, -0.827629, -1.32448, -0.000603726, 0.00147401, 0.874619, -0.484809, 1.3866e-05, 0, 0, -1.28989e-06, -0, -0
0, 0, -1.10389, -1.76608, -0.000220891, 0.00168563, 0.874619, -0.484808, 1.60082, 0, 0, -0.00014364, -0, -0
0, 0, -1.3802, -2.20788, -0.000205137, 0.00169447, 0.874619, -0.484808, 2.31099, 0, 0, -7.17854e-05, -0, -0
0, 0, -1.65335, -2.64467, -0.000202676, 0.00169586, 0.874619, -0.484808, 2.9086, 0, 0, 1.50698e-05, -0, -0
0, 0, -1.92536, -3.07959, -0.0002036, 0.00169534, 0.874619, -0.484809, 3.33292, 0, 0, 4.02307e-05, -0, -0
0, 0, -2.1946, -3.51012, -0.000205472, 0.00169432, 0.874618, -0.484809, 3.7544, 0, 0, 1.67381e-05, -0, -0
0, 0, -2.47064, -3.95158, -0.000209428, 0.00168824, 0.874618, -0.484809, 4.06029, 0, 0, -3.50369e-05, -0, -0
0, 0, -2.77162, -4.43292, -0.000217604, 0.00167858, 0.874619, -0.484808, 4.47834, 0, 0, 0.000139037, -0, -0
0, 0, -3.04567, -4.87115, -0.000230767, 0.00167134, 0.874619, -0.484807, 4.7539, 0, 0, 0.000133208, -0, -0
0, 0, -3.33761, -5.33806, -0.00025435, 0.00165863, 0.874619, -0.484808, 5.04132, 0, 0, -0.000135301, -0, -0
0, 0, -3.61831, -5.78691, -0.000264518, 0.00165304, 0.874619, -0.484808, 5.30779, 0, 0, 0.000167597, -0, -0
0, 0, -3.91347, -6.25897, -0.000278004, 0.00164549, 0.87462, -0.484807, 5.60822, 0, 0, 0.000154728, -0, -0
0, 0, -4.19163, -6.70389, -0.000278538, 0.00163616, 0.874619, -0.484809, 5.88631, 0, 0, -0.000100375, -0, -0
0, 0, -4.5147, -7.2206, -0.000281723, 0.00163443, 0.874618, -0.48481, 6.16225, 0, 0, 6.75701e-05, -0, -0
0, 0, -4.78353, -7.65056, -0.000285391, 0.00163241, 0.874618, -0.48481, 6.433, 0, 0, 6.60114e-05, -0, -0
0, 0, -5.0969, -8.15183, -0.000289191, 0.00163036, 0.874618, -0.48481, 6.5681, 0, 0, 5.01963e-05, -0, -0
0, 0, -5.38518, -8.61293, -0.000292257, 0.00162869, 0.874618, -0.48481, 6.83776, 0, 0, 3.1608e-05, -0, -0
0, 0, -5.68273, -9.08883, -0.000292135, 0.0016288, 0.874617, -0.484811, 6.97417, 0, 0, -1.36386e-05, -0, -0
0, 0, -5.95079, -9.51757, -0.000293519, 0.001628, 0.874617, -0.484812, 7.25072, 0, 0, 4.97803e-05, -0, -0
0, 0, -6.22584, -9.95751, -0.000297394, 0.00162593, 0.874617, -0.484812, 7.41196, 0, 0, 6.2059e-05, -0, -0
0, 0, -6.50784, -10.4085, -0.000301091, 0.00162392, 0.874617, -0.484813, 7.67937, 0, 0, 7.55313e-05, -0, -0
0, 0, -6.7968, -10.8707, -0.000304438, 0.00162205, 0.874617, -0.484813, 7.81282, 0, 0, 6.44747e-05, -0, -0
0, 0, -7.09265, -11.3439, -0.000307633, 0.00162022, 0.874617, -0.484813, 7.9461, 0, 0, 4.78954e-05, -0, -0
0, 0, -7.39544, -11.8282, -0.000309788, 0.00161901, 0.874616, -0.484813, 8.21339, 0, 0, 2.06783e-05, -0, -0
0, 0, -7.66058, -12.2523, -0.000310373, 0.00161871, 0.874616, -0.484813, 8.3494, 0, 0, 1.04679e-05, -0, -0
0, 0, -7.93084, -12.6846, -0.000312574, 0.00161749, 0.874616, -0.484814, 8.48455, 0, 0, 5.41303e-05, -0, -0
0, 0, -8.25259, -13.1993, -0.000316432, 0.00161542, 0.874615, -0.484815, 8.61742, 0, 0, 6.90335e-05, -0, -0
0, 0, -8.53383, -13.6491, -0.000319533, 0.00161365, 0.874615, -0.484815, 8.88185, 0, 0, 5.46623e-05, -0, -0
0, 0, -8.86834, -14.1841, -0.000323009, 0.00161179, 0.874615, -0.484815, 9.01383, 0, 0, 6.19445e-05, -0, -0
0, 0, -9.20968, -14.7301, -0.000326345, 0.00160987, 0.874615, -0.484815, 9.17201, 0, 0, 5.92824e-05, -0, -0
0, 0, -9.55788, -15.287, -0.00034111, 0.00161739, 0.874615, -0.484816, 9.43675, 0, 0, 0.000720941, -0, -0
0, 0, -9.86189, -15.7733, -0.000360748, 0.00162756, 0.874611, -0.484822, 9.57118, 0, 0, 0.00075534, -0, -0
0, 0, -10.223, -16.3508, -0.000386013, 0.00163873, 0.874606, -0.484831, 9.70452, 0, 0, 0.000800272, -0, -0
0, 0, -10.5909, -16.9393, -0.000412479, 0.00164976, 0.874599, -0.484843, 9.9668, 0, 0, 0.000830077, -0, -0
0, 0, -10.8578, -17.3663, -0.000430625, 0.00164158, 0.874595, -0.484852, 10.0976, 0, 0, 0.000457741, -0, -0
0, 0, -11.1282, -17.7988, -0.000450261, 0.00164616, 0.874592, -0.484856, 10.228, 0, 0, 0.000826701, -0, -0
0, 0, -11.4021, -18.2369, -0.000469344, 0.00165452, 0.874592, -0.484857, 10.3586, 0, 0, 0.000833143, -0, -0
0, 0, -11.6794, -18.6805, -0.000488518, 0.00166296, 0.874592, -0.484856, 10.489, 0, 0, 0.000844331, -0, -0
0, 0, -11.9602, -19.1296, -0.000507459, 0.00167156, 0.874594, -0.484853, 10.6197, 0, 0, 0.000822454, -0, -0
0, 0, -12.3017, -19.676, -0.000523459, 0.0016784, 0.874596, -0.484849, 10.7517, 0, 0, 1.0237e-05, -0, -0
0, 0, -12.6483, -20.2304, -0.000515263, 0.0016038, 0.874598, -0.484846, 10.8836, 0, 0, -0.00518467, -0, -0
0, 0, -12.9408, -20.6985, -0.000522126, 0.00136043, 0.874617, -0.484812, 11.0402, 0, 0, -0.00440122, -0, -0
