# 2c067d3d-5bcf-4c5f-b17e-7ebdc9774ded
# 311c6713726a8b19ab3e2a4284e8e2fef1ae9134
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0654015; -1.2500127; 1.8334595; -0.0000314; 9.0000000; 0.0000000
0.0999867; -0.0311559; -1.2759744; 1.8334565; -0.0000295; 9.0000000; 0.0000000
0.1999734; -0.1277133; -1.3019359; 1.8334536; -0.0000276; 9.0000000; 0.0000000
0.2999600; -0.2242709; -1.3278971; 1.8334509; -0.0000257; 9.0000000; 0.0000000
0.3999467; -0.3208284; -1.3538580; 1.8334485; -0.0000239; 9.0000000; 0.0000000
0.4999334; -0.4173861; -1.3798187; 1.8334462; -0.0000220; 9.0000000; 0.0000000
0.5999201; -0.5139438; -1.4057792; 1.8334441; -0.0000201; 9.0000000; 0.0000000
0.6999067; -0.6105015; -1.4317394; 1.8334422; -0.0000182; 9.0000000; 0.0000000
0.7998934; -0.7070593; -1.4576996; 1.8334404; -0.0000163; 9.0000000; 0.0000000
0.8998801; -0.8036172; -1.4836595; 1.8334389; -0.0000144; 9.0000000; 0.0000000
0.9998668; -0.9001750; -1.5096193; 1.8334376; -0.0000125; 9.0000000; 0.0000000
1.0998535; -0.9967330; -1.5355790; 1.8334364; -0.0000106; 9.0000000; 0.0000000
1.1998401; -1.0932909; -1.5615386; 1.8334354; -0.0000087; 9.0000000; 0.0000000
1.2998268; -1.1898489; -1.5874981; 1.8334347; -0.0000068; 9.0000000; 0.0000000
1.3998135; -1.2864068; -1.6134576; 1.8334341; -0.0000049; 9.0000000; 0.0000000
1.4998002; -1.3829648; -1.6394170; 1.8334337; -0.0000030; 9.0000000; 0.0000000
1.5997868; -1.4795228; -1.6653763; 1.8334335; -0.0000011; 9.0000000; 0.0000000
1.6997735; -1.5760808; -1.6913357; 1.8334334; 0.0000007; 9.0000000; 0.0000000
1.7997602; -1.6726388; -1.7172950; 1.8334336; 0.0000026; 9.0000000; 0.0000000
1.8997469; -1.7691968; -1.7432544; 1.8334340; 0.0000045; 9.0000000; 0.0000000
1.9997335; -1.8657548; -1.7692139; 1.8334345; 0.0000064; 9.0000000; 0.0000000
2.0997202; -1.9623128; -1.7951733; 1.8334353; 0.0000083; 9.0000000; 0.0000000
2.1997069; -2.0588707; -1.8211329; 1.8334362; 0.0000102; 9.0000000; 0.0000000
2.2996936; -2.1554286; -1.8470926; 1.8334373; 0.0000121; 9.0000000; 0.0000000
2.3996803; -2.2519865; -1.8730524; 1.8334386; 0.0000140; 9.0000000; 0.0000000
2.4996669; -2.3485443; -1.8990123; 1.8334401; 0.0000159; 9.0000000; 0.0000000
2.5996536; -2.4451022; -1.9249724; 1.8334418; 0.0000178; 9.0000000; 0.0000000
2.6996403; -2.5416599; -1.9509326; 1.8334436; 0.0000197; 9.0000000; 0.0000000
2.7996270; -2.6382176; -1.9768931; 1.8334457; 0.0000216; 9.0000000; 0.0000000
2.8996136; -2.7347753; -2.0028537; 1.8334480; 0.0000235; 9.0000000; 0.0000000
2.9996003; -2.8313329; -2.0288146; 1.8334504; 0.0000253; 9.0000000; 0.0000000
3.0995870; -2.9278904; -2.0547757; 1.8334530; 0.0000272; 9.0000000; 0.0000000
3.1995737; -3.0244479; -2.0807371; 1.8334558; 0.0000291; 9.0000000; 0.0000000
3.2995604; -3.1210052; -2.1066987; 1.8334589; 0.0000310; 9.0000000; 0.0000000
3.3995470; -3.2175625; -2.1326607; 1.8334620; 0.0000329; 9.0000000; 0.0000000
3.4995337; -3.3141197; -2.1586230; 1.8334654; 0.0000348; 9.0000000; 0.0000000
3.5995204; -3.4106769; -2.1845856; 1.8334690; 0.0000363; 9.0000000; 0.0000000
3.6995071; -3.5072339; -2.2105486; 1.8334727; 0.0000378; 9.0000000; 0.0000000
3.7994937; -3.6037908; -2.2365119; 1.8334765; 0.0000393; 9.0000000; 0.0000000
3.8994804; -3.7003477; -2.2624756; 1.8334806; 0.0000408; 9.0000000; 0.0000000
3.9994671; -3.7969044; -2.2884397; 1.8334847; 0.0000423; 9.0000000; 0.0000000
4.0994538; -3.8934610; -2.3144042; 1.8334889; 0.0000422; 9.0000000; 0.0000000
4.1994404; -3.9900175; -2.3403691; 1.8334932; 0.0000422; 9.0000000; 0.0000000
4.2994271; -4.0865739; -2.3663345; 1.8334974; 0.0000422; 9.0000000; 0.0000000
4.3994138; -4.1831302; -2.3923002; 1.8335016; 0.0000421; 9.0000000; 0.0000000
4.4994005; -4.2796864; -2.4182663; 1.8335058; 0.0000421; 9.0000000; 0.0000000
4.5993872; -4.3762424; -2.4442329; 1.8335100; 0.0000416; 9.0000000; 0.0000000
4.6993738; -4.4727984; -2.4701998; 1.8335141; 0.0000412; 9.0000000; 0.0000000
4.7993605; -4.5693543; -2.4961672; 1.8335182; 0.0000408; 9.0000000; 0.0000000
4.8993472; -4.6659100; -2.5221349; 1.8335223; 0.0000404; 9.0000000; 0.0000000
4.9993339; -4.7624656; -2.5481030; 1.8335263; 0.0000400; 9.0000000; 0.0000000
5.0993205; -4.8590212; -2.5740715; 1.8335303; 0.0000396; 9.0000000; 0.0000000
5.1993072; -4.9555766; -2.6000404; 1.8335342; 0.0000392; 9.0000000; 0.0000000
5.2992939; -5.0521319; -2.6260097; 1.8335381; 0.0000387; 9.0000000; 0.0000000
5.3992806; -5.1486872; -2.6519793; 1.8335420; 0.0000383; 9.0000000; 0.0000000
5.4992673; -5.2452423; -2.6779494; 1.8335458; 0.0000379; 9.0000000; 0.0000000
5.5992539; -5.3417974; -2.7039197; 1.8335495; 0.0000375; 9.0000000; 0.0000000
5.6992406; -5.4383523; -2.7298905; 1.8335533; 0.0000371; 9.0000000; 0.0000000
5.7992273; -5.5349071; -2.7558616; 1.8335569; 0.0000367; 9.0000000; 0.0000000
5.8992140; -5.6314619; -2.7818330; 1.8335606; 0.0000362; 9.0000000; 0.0000000
5.9992006; -5.7280165; -2.8078049; 1.8335642; 0.0000358; 9.0000000; 0.0000000
6.0991873; -5.8245711; -2.8337770; 1.8335678; 0.0000354; 9.0000000; 0.0000000
6.1991740; -5.9211256; -2.8597495; 1.8335713; 0.0000350; 9.0000000; 0.0000000
6.2991607; -6.0176799; -2.8857223; 1.8335748; 0.0000346; 9.0000000; 0.0000000
6.3991473; -6.1142342; -2.9116955; 1.8335782; 0.0000342; 9.0000000; 0.0000000
6.4991340; -6.2107884; -2.9376690; 1.8335816; 0.0000337; 9.0000000; 0.0000000
6.5991207; -6.3073425; -2.9636428; 1.8335849; 0.0000333; 9.0000000; 0.0000000
6.6991074; -6.4038966; -2.9896170; 1.8335882; 0.0000329; 9.0000000; 0.0000000
6.7990941; -6.5004505; -3.0155914; 1.8335915; 0.0000325; 9.0000000; 0.0000000
6.8990807; -6.5970043; -3.0415662; 1.8335947; 0.0000321; 9.0000000; 0.0000000
6.9990674; -6.6935581; -3.0675413; 1.8335979; 0.0000317; 9.0000000; 0.0000000
7.0990541; -6.7901118; -3.0935167; 1.8336011; 0.0000312; 9.0000000; 0.0000000
7.1990408; -6.8866654; -3.1194924; 1.8336042; 0.0000308; 9.0000000; 0.0000000
7.2990274; -6.9832189; -3.1454683; 1.8336072; 0.0000304; 9.0000000; 0.0000000
7.3990141; -7.0797724; -3.1714446; 1.8336103; 0.0000300; 9.0000000; 0.0000000
7.4990008; -7.1763258; -3.1974212; 1.8336132; 0.0000296; 9.0000000; 0.0000000
7.5989875; -7.2728791; -3.2233981; 1.8336162; 0.0000292; 9.0000000; 0.0000000
7.6989742; -7.3694323; -3.2493752; 1.8336191; 0.0000287; 9.0000000; 0.0000000
7.7989608; -7.4659854; -3.2753526; 1.8336219; 0.0000283; 9.0000000; 0.0000000
7.8989475; -7.5625385; -3.3013303; 1.8336247; 0.0000279; 9.0000000; 0.0000000
7.9989342; -7.6590915; -3.3273083; 1.8336275; 0.0000275; 9.0000000; 0.0000000
8.0989209; -7.7556444; -3.3532865; 1.8336302; 0.0000271; 9.0000000; 0.0000000
8.1989075; -7.8521973; -3.3792650; 1.8336329; 0.0000267; 9.0000000; 0.0000000
8.2988942; -7.9487500; -3.4052437; 1.8336356; 0.0000263; 9.0000000; 0.0000000
8.3988809; -8.0453028; -3.4312227; 1.8336382; 0.0000258; 9.0000000; 0.0000000
8.4988676; -8.1418554; -3.4572020; 1.8336407; 0.0000254; 9.0000000; 0.0000000
8.5988542; -8.2384080; -3.4831815; 1.8336433; 0.0000250; 9.0000000; 0.0000000
8.6988409; -8.3349605; -3.5091612; 1.8336457; 0.0000246; 9.0000000; 0.0000000
8.7988276; -8.4315130; -3.5351412; 1.8336482; 0.0000242; 9.0000000; 0.0000000
8.8988143; -8.5280654; -3.5611214; 1.8336506; 0.0000238; 9.0000000; 0.0000000
8.9988010; -8.6246177; -3.5871018; 1.8336529; 0.0000233; 9.0000000; 0.0000000
9.0987876; -8.7211700; -3.6130825; 1.8336552; 0.0000229; 9.0000000; 0.0000000
9.1987743; -8.8177222; -3.6390633; 1.8336575; 0.0000225; 9.0000000; 0.0000000
9.2987610; -8.9142743; -3.6650444; 1.8336597; 0.0000221; 9.0000000; 0.0000000
9.3987477; -9.0108264; -3.6910257; 1.8336619; 0.0000217; 9.0000000; 0.0000000
9.4987343; -9.1073785; -3.7170073; 1.8336641; 0.0000213; 9.0000000; 0.0000000
9.5987210; -9.2039305; -3.7429890; 1.8336662; 0.0000208; 9.0000000; 0.0000000
9.6987077; -9.3004824; -3.7689709; 1.8336682; 0.0000204; 9.0000000; 0.0000000
9.7986944; -9.3970343; -3.7949530; 1.8336703; 0.0000200; 9.0000000; 0.0000000
9.8986811; -9.4935861; -3.8209354; 1.8336722; 0.0000196; 9.0000000; 0.0000000
9.9986677; -9.5901379; -3.8469179; 1.8336742; 0.0000192; 9.0000000; 0.0000000
10.0986544; -9.6866896; -3.8729006; 1.8336761; 0.0000188; 9.0000000; 0.0000000
10.1986411; -9.7832413; -3.8988834; 1.8336779; 0.0000183; 9.0000000; 0.0000000
10.2986278; -9.8797929; -3.9248665; 1.8336797; 0.0000179; 9.0000000; 0.0000000
10.3986144; -9.9763445; -3.9508497; 1.8336815; 0.0000175; 9.0000000; 0.0000000
10.4986011; -10.0728960; -3.9768331; 1.8336832; 0.0000171; 9.0000000; 0.0000000
10.5985878; -10.1694475; -4.0028166; 1.8336849; 0.0000167; 9.0000000; 0.0000000
10.6985745; -10.2659989; -4.0288004; 1.8336866; 0.0000163; 9.0000000; 0.0000000
10.7985612; -10.3625503; -4.0547842; 1.8336882; 0.0000158; 9.0000000; 0.0000000
10.8985478; -10.4591017; -4.0807683; 1.8336897; 0.0000154; 9.0000000; 0.0000000
10.9985345; -10.5556530; -4.1067524; 1.8336913; 0.0000150; 9.0000000; 0.0000000
11.0985212; -10.6522043; -4.1327368; 1.8336928; 0.0000146; 9.0000000; 0.0000000
11.1985079; -10.7487556; -4.1587212; 1.8336942; 0.0000142; 9.0000000; 0.0000000
11.2984945; -10.8453068; -4.1847058; 1.8336956; 0.0000138; 9.0000000; 0.0000000
11.3984812; -10.9418580; -4.2106905; 1.8336969; 0.0000133; 9.0000000; 0.0000000
11.4984679; -11.0384091; -4.2366754; 1.8336983; 0.0000129; 9.0000000; 0.0000000
11.5984546; -11.1349602; -4.2626604; 1.8336995; 0.0000125; 9.0000000; 0.0000000
11.6984412; -11.2315113; -4.2886455; 1.8337008; 0.0000121; 9.0000000; 0.0000000
11.7984279; -11.3280623; -4.3146307; 1.8337019; 0.0000117; 9.0000000; 0.0000000
11.8984146; -11.4246133; -4.3406161; 1.8337031; 0.0000113; 9.0000000; 0.0000000
11.9984013; -11.5211643; -4.3666015; 1.8337042; 0.0000109; 9.0000000; 0.0000000
12.0983880; -11.6177153; -4.3925871; 1.8337053; 0.0000104; 9.0000000; 0.0000000
12.1983746; -11.7142662; -4.4185727; 1.8337063; 0.0000100; 9.0000000; 0.0000000
12.2983613; -11.8108171; -4.4445585; 1.8337073; 0.0000096; 9.0000000; 0.0000000
12.3983480; -11.9073680; -4.4705443; 1.8337082; 0.0000092; 9.0000000; 0.0000000
12.4983347; -12.0039188; -4.4965302; 1.8337091; 0.0000088; 9.0000000; 0.0000000
12.5983213; -12.1004697; -4.5225162; 1.8337100; 0.0000084; 9.0000000; 0.0000000
12.6983080; -12.1970205; -4.5485023; 1.8337108; 0.0000079; 9.0000000; 0.0000000
12.7982947; -12.2935713; -4.5744885; 1.8337116; 0.0000075; 9.0000000; 0.0000000
12.8982814; -12.3901220; -4.6004747; 1.8337123; 0.0000071; 9.0000000; 0.0000000
12.9982681; -12.4866728; -4.6264611; 1.8337130; 0.0000067; 9.0000000; 0.0000000
13.0982547; -12.5832235; -4.6524474; 1.8337136; 0.0000063; 9.0000000; 0.0000000
13.1982414; -12.6797742; -4.6784339; 1.8337142; 0.0000059; 9.0000000; 0.0000000
13.2982281; -12.7763249; -4.7044204; 1.8337148; 0.0000054; 9.0000000; 0.0000000
13.3982148; -12.8728756; -4.7304069; 1.8337153; 0.0000050; 9.0000000; 0.0000000
13.4982014; -12.9694263; -4.7563935; 1.8337158; 0.0000046; 9.0000000; 0.0000000
13.5981881; -13.0659769; -4.7823801; 1.8337162; 0.0000042; 9.0000000; 0.0000000
13.6981748; -13.1625276; -4.8083668; 1.8337166; 0.0000038; 9.0000000; 0.0000000
13.7981615; -13.2590782; -4.8343535; 1.8337170; 0.0000034; 9.0000000; 0.0000000
13.8981481; -13.3556289; -4.8603403; 1.8337173; 0.0000029; 9.0000000; 0.0000000
13.9981348; -13.4521795; -4.8863271; 1.8337176; 0.0000025; 9.0000000; 0.0000000
14.0981215; -13.5487301; -4.9123139; 1.8337178; 0.0000021; 9.0000000; 0.0000000
14.1981082; -13.6452807; -4.9383007; 1.8337180; 0.0000017; 9.0000000; 0.0000000
14.2980949; -13.7418313; -4.9642875; 1.8337182; 0.0000013; 9.0000000; 0.0000000
14.3980815; -13.8383819; -4.9902744; 1.8337183; 0.0000009; 9.0000000; 0.0000000
14.4980682; -13.9349325; -5.0162612; 1.8337183; 0.0000004; 9.0000000; 0.0000000
14.5980549; -14.0314831; -5.0422481; 1.8337183; 0.0000000; 9.0000000; 0.0000000
14.6980416; -14.1280337; -5.0682350; 1.8337183; -0.0000004; 9.0000000; 0.0000000
14.7980282; -14.2245843; -5.0942218; 1.8337183; -0.0000008; 9.0000000; 0.0000000
14.8980149; -14.3211349; -5.1202087; 1.8337182; -0.0000012; 9.0000000; 0.0000000
14.9980016; -14.4176856; -5.1461955; 1.8337180; -0.0000016; 9.0000000; 0.0000000
15.0979883; -14.5142362; -5.1721823; 1.8337178; -0.0000020; 9.0000000; 0.0000000
15.1979750; -14.6107868; -5.1981691; 1.8337176; -0.0000025; 9.0000000; 0.0000000
15.2979616; -14.7073374; -5.2241559; 1.8337174; -0.0000029; 9.0000000; 0.0000000
15.3979483; -14.8038880; -5.2501427; 1.8337170; -0.0000033; 9.0000000; 0.0000000
15.4979350; -14.9004387; -5.2761294; 1.8337167; -0.0000037; 9.0000000; 0.0000000
15.5979217; -14.9969893; -5.3021161; 1.8337163; -0.0000041; 9.0000000; 0.0000000
15.6979083; -15.0935400; -5.3281027; 1.8337159; -0.0000045; 9.0000000; 0.0000000
15.7978950; -15.1900907; -5.3540893; 1.8337154; -0.0000050; 9.0000000; 0.0000000
15.8978817; -15.2866413; -5.3800759; 1.8337149; -0.0000054; 9.0000000; 0.0000000
15.9978684; -15.3831920; -5.4060624; 1.8337143; -0.0000058; 9.0000000; 0.0000000
16.0978550; -15.4797427; -5.4320488; 1.8337137; -0.0000062; 9.0000000; 0.0000000
16.1978417; -15.5762935; -5.4580352; 1.8337131; -0.0000066; 9.0000000; 0.0000000
16.2978284; -15.6728442; -5.4840215; 1.8337124; -0.0000070; 9.0000000; 0.0000000
16.3978151; -15.7693950; -5.5100078; 1.8337117; -0.0000075; 9.0000000; 0.0000000
16.4978018; -15.8659458; -5.5359940; 1.8337109; -0.0000079; 9.0000000; 0.0000000
16.5977884; -15.9624966; -5.5619801; 1.8337101; -0.0000083; 9.0000000; 0.0000000
16.6977751; -16.0590474; -5.5879661; 1.8337092; -0.0000087; 9.0000000; 0.0000000
16.7977618; -16.1555983; -5.6139520; 1.8337084; -0.0000091; 9.0000000; 0.0000000
16.8977485; -16.2521491; -5.6399379; 1.8337074; -0.0000095; 9.0000000; 0.0000000
16.9977351; -16.3487000; -5.6659237; 1.8337064; -0.0000100; 9.0000000; 0.0000000
17.0977218; -16.4452509; -5.6919093; 1.8337054; -0.0000104; 9.0000000; 0.0000000
17.1977085; -16.5418019; -5.7178949; 1.8337044; -0.0000108; 9.0000000; 0.0000000
17.2976952; -16.6383529; -5.7438803; 1.8337033; -0.0000112; 9.0000000; 0.0000000
17.3976819; -16.7349039; -5.7698657; 1.8337021; -0.0000116; 9.0000000; 0.0000000
17.4976685; -16.8314549; -5.7958509; 1.8337009; -0.0000120; 9.0000000; 0.0000000
17.5976552; -16.9280060; -5.8218361; 1.8336997; -0.0000125; 9.0000000; 0.0000000
17.6976419; -17.0245571; -5.8478211; 1.8336985; -0.0000129; 9.0000000; 0.0000000
17.7976286; -17.1211082; -5.8738060; 1.8336971; -0.0000133; 9.0000000; 0.0000000
17.8976152; -17.2176594; -5.8997907; 1.8336958; -0.0000137; 9.0000000; 0.0000000
17.9976019; -17.3142106; -5.9257753; 1.8336944; -0.0000141; 9.0000000; 0.0000000
18.0975886; -17.4107618; -5.9517598; 1.8336930; -0.0000145; 9.0000000; 0.0000000
18.1975753; -17.5073131; -5.9777441; 1.8336915; -0.0000149; 9.0000000; 0.0000000
18.2975620; -17.6038644; -6.0037283; 1.8336900; -0.0000154; 9.0000000; 0.0000000
18.3975486; -17.7004158; -6.0297124; 1.8336884; -0.0000158; 9.0000000; 0.0000000
18.4975353; -17.7969672; -6.0556963; 1.8336868; -0.0000162; 9.0000000; 0.0000000
18.5975220; -17.8935186; -6.0816800; 1.8336852; -0.0000166; 9.0000000; 0.0000000
18.6975087; -17.9900701; -6.1076636; 1.8336835; -0.0000170; 9.0000000; 0.0000000
18.7974953; -18.0866217; -6.1336470; 1.8336818; -0.0000174; 9.0000000; 0.0000000
18.8974820; -18.1831732; -6.1596303; 1.8336800; -0.0000179; 9.0000000; 0.0000000
18.9974687; -18.2797248; -6.1856134; 1.8336782; -0.0000183; 9.0000000; 0.0000000
19.0974554; -18.3762765; -6.2115963; 1.8336764; -0.0000187; 9.0000000; 0.0000000
19.1974420; -18.4728282; -6.2375790; 1.8336745; -0.0000191; 9.0000000; 0.0000000
19.2974287; -18.5693800; -6.2635615; 1.8336725; -0.0000195; 9.0000000; 0.0000000
19.3974154; -18.6659318; -6.2895439; 1.8336706; -0.0000199; 9.0000000; 0.0000000
19.4974021; -18.7624837; -6.3155260; 1.8336686; -0.0000204; 9.0000000; 0.0000000
19.5973888; -18.8590356; -6.3415080; 1.8336665; -0.0000208; 9.0000000; 0.0000000
19.6973754; -18.9555876; -6.3674897; 1.8336644; -0.0000212; 9.0000000; 0.0000000
19.7973621; -19.0521396; -6.3934713; 1.8336623; -0.0000216; 9.0000000; 0.0000000
19.8973488; -19.1486917; -6.4194526; 1.8336601; -0.0000220; 9.0000000; 0.0000000
19.9973355; -19.2452438; -6.4454338; 1.8336579; -0.0000224; 9.0000000; 0.0000000
20.0973221; -19.3417960; -6.4714147; 1.8336556; -0.0000229; 9.0000000; 0.0000000
20.1973088; -19.4383483; -6.4973954; 1.8336533; -0.0000233; 9.0000000; 0.0000000
20.2972955; -19.5349006; -6.5233758; 1.8336509; -0.0000237; 9.0000000; 0.0000000
20.3972822; -19.6314530; -6.5493561; 1.8336485; -0.0000241; 9.0000000; 0.0000000
20.4972689; -19.7280055; -6.5753361; 1.8336461; -0.0000245; 9.0000000; 0.0000000
20.5972555; -19.8245580; -6.6013159; 1.8336436; -0.0000249; 9.0000000; 0.0000000
20.6972422; -19.9211105; -6.6272954; 1.8336411; -0.0000253; 9.0000000; 0.0000000
20.7972289; -20.0176632; -6.6532747; 1.8336386; -0.0000258; 9.0000000; 0.0000000
20.8972156; -20.1142159; -6.6792537; 1.8336360; -0.0000262; 9.0000000; 0.0000000
20.9972022; -20.2107687; -6.7052325; 1.8336333; -0.0000266; 9.0000000; 0.0000000
21.0971889; -20.3073215; -6.7312110; 1.8336307; -0.0000270; 9.0000000; 0.0000000
21.1971756; -20.4038744; -6.7571893; 1.8336279; -0.0000274; 9.0000000; 0.0000000
21.2971623; -20.5004274; -6.7831673; 1.8336252; -0.0000279; 9.0000000; 0.0000000
21.3971489; -20.5969805; -6.8091450; 1.8336224; -0.0000283; 9.0000000; 0.0000000
21.4971356; -20.6935336; -6.8351225; 1.8336195; -0.0000287; 9.0000000; 0.0000000
21.5971223; -20.7900868; -6.8610997; 1.8336166; -0.0000291; 9.0000000; 0.0000000
21.6971090; -20.8866401; -6.8870766; 1.8336137; -0.0000295; 9.0000000; 0.0000000
21.7970957; -20.9831934; -6.9130532; 1.8336107; -0.0000298; 9.0000000; 0.0000000
21.8970823; -21.0797469; -6.9390295; 1.8336077; -0.0000302; 9.0000000; 0.0000000
21.9970690; -21.1763004; -6.9650055; 1.8336046; -0.0000403; 9.0000000; 0.0000000
22.0970557; -21.2728540; -6.9909811; 1.8335977; -0.0000983; 9.0000000; 0.0000000
22.1970424; -21.3694079; -7.0169558; 1.8335849; -0.0001564; 9.0000000; 0.0000000
22.2970290; -21.4659622; -7.0429289; 1.8335664; -0.0002144; 9.0000000; 0.0000000
22.3970157; -21.5625171; -7.0689000; 1.8335421; -0.0002724; 9.0000000; 0.0000000
22.4970024; -21.6590726; -7.0948684; 1.8335115; -0.0003816; 9.0000000; 0.0000000
22.5969891; -21.7556292; -7.1208329; 1.8334557; -0.0007342; 9.0000000; 0.0000000
22.6969758; -21.8521878; -7.1467903; 1.8333647; -0.0010869; 9.0000000; 0.0000000
22.7969624; -21.9487491; -7.1727372; 1.8332384; -0.0014396; 9.0000000; 0.0000000
22.8969491; -22.0453142; -7.1986702; 1.8330768; -0.0017923; 9.0000000; 0.0000000
22.9969358; -22.1418839; -7.2245859; 1.8328794; -0.0022127; 9.0000000; 0.0000000
23.0969225; -22.2384595; -7.2504799; 1.8326214; -0.0029469; 9.0000000; 0.0000000
23.1969091; -22.3350427; -7.2763454; 1.8322900; -0.0036811; 9.0000000; 0.0000000
23.2968958; -22.4316354; -7.3021754; 1.8318853; -0.0044153; 9.0000000; 0.0000000
23.3968825; -22.5282394; -7.3279627; 1.8314071; -0.0051495; 9.0000000; 0.0000000
23.4968692; -22.6248568; -7.3537003; 1.8308554; -0.0058968; 9.0000000; 0.0000000
23.5968558; -22.7214893; -7.3793808; 1.8302255; -0.0067030; 9.0000000; 0.0000000
23.6968425; -22.8181391; -7.4049966; 1.8295150; -0.0075092; 9.0000000; 0.0000000
23.7968292; -22.9148080; -7.4305398; 1.8287238; -0.0083154; 9.0000000; 0.0000000
